DRUGBANK_ID,Drug_Number,SMILES
DB02932,210,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
DB04839,211,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C
DB06710,212,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
DB07423,213,CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1
DB00536,214,N=C(N)N
DB00822,215,CCN(CC)C(=S)SSC(=S)N(CC)CC
DB02115,216,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12
DB00252,217,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
DB00273,218,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
DB01438,219,Nc1ccc(/N=N/c2ccccc2)c(N)n1
DB00361,220,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2
DB00541,221,CC[C@]1(O)C[C@@H]2C[N@@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
DB00570,222,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
DB01179,223,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
DB00724,224,CC(C)Cn1cnc2c(N)nc3ccccc3c21
DB01611,225,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
DB00514,226,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3
DB01017,227,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O
DB01120,228,Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@H]3C2)cc1
DB00872,229,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2
DB00290,230,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1
DB00187,231,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
DB00195,232,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
DB00264,233,COCCc1ccc(OCC(O)CNC(C)C)cc1
DB00368,234,NC[C@H](O)c1ccc(O)c(O)c1
DB00373,235,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
DB00571,236,CC(C)NCC(O)COc1cccc2ccccc12
DB00612,237,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
DB00668,238,CNC[C@H](O)c1ccc(O)c(O)c1
DB00841,239,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
DB01001,240,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
DB01064,241,CC(C)NCC(O)c1ccc(O)c(O)c1
DB01193,242,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
DB04861,243,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1
DB00281,244,CCN(CC)CC(=O)Nc1c(C)cccc1C
DB00296,245,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
DB00527,246,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
DB00645,247,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1
DB00721,248,CCN(CC)CCOC(=O)c1ccc(N)cc1
DB00807,249,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N
DB00892,250,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N
DB00961,251,Cc1cccc(C)c1NC(=O)C1CCCCN1C
DB01086,252,CCOC(=O)c1ccc(N)cc1
